a.annotation_type	a.text	op_label	op_id	class_label	class_id
ALGlomerulus	D doublet	None	None	None	None
ALGlomerulus	DA+	None	None	None	None
ALGlomerulus	DA1	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DA1	FBbt_00003932
ALGlomerulus	DA1+DL3	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DA1	FBbt_00003932
ALGlomerulus	DA1+DL3	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DL3	FBbt_00003964
ALGlomerulus	DA2	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DA2	FBbt_00003933
ALGlomerulus	DA4	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DA4	FBbt_00003935
ALGlomerulus	DC2	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DC2	FBbt_00003962
ALGlomerulus	DC3	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DC3	FBbt_00003963
ALGlomerulus	DL1	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DL1	FBbt_00003968
ALGlomerulus	DL2d	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DL2d	FBbt_00100377
ALGlomerulus	DL2v	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DL2v	FBbt_00100376
ALGlomerulus	DL2v+	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DL2v	FBbt_00100376
ALGlomerulus	DL2v+DM3+	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DL2v	FBbt_00100376
ALGlomerulus	DL2v+DM3+	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DM3	FBbt_00003972
ALGlomerulus	DL3	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DL3	FBbt_00003964
ALGlomerulus	DL4	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DL4	FBbt_00003965
ALGlomerulus	DM1	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DM1	FBbt_00003975
ALGlomerulus	DM3+	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DM3	FBbt_00003972
ALGlomerulus	DM3+DP1l	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DP1l	FBbt_00007098
ALGlomerulus	DM3+DP1l	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DM3	FBbt_00003972
ALGlomerulus	DM5	has_postsynaptic_terminal_in	RO_0002110	antennal lobe glomerulus DM5	FBbt_00003940
